InChI Key	UniProt	PredScore
JMEYDSHPKCSIJC-UHFFFAOYSA-N	P10275	0.9780751
JDUBGYFRJFOXQC-KRWDZBQOSA-N	O75116	0.8824794
JDUBGYFRJFOXQC-KRWDZBQOSA-N	P31751	0.9003271
ULDXWLCXEDXJGE-UHFFFAOYSA-N	P31749	0.9289721
SCGCBAAYLFTIJU-CQSZACIVSA-N	P05177	0.8408276
SCGCBAAYLFTIJU-CQSZACIVSA-N	P08684	0.8611718
SCGCBAAYLFTIJU-CQSZACIVSA-N	P11712	0.8771509
SCGCBAAYLFTIJU-CQSZACIVSA-N	P33261	0.8038075
JLYAXFNOILIKPP-KXQOOQHDSA-N	P10415	0.8214272
JLYAXFNOILIKPP-KXQOOQHDSA-N	Q07817	0.8998064
IAYGCINLNONXHY-LBPRGKRZSA-N	O14757	0.9045152
PDMUGYOXRHVNMO-UHFFFAOYSA-N	P08581	0.9976029
PDMUGYOXRHVNMO-UHFFFAOYSA-N	Q14432	0.8124422
DFJSJLGUIXFDJP-UHFFFAOYSA-N	P00533	1.015886
DFJSJLGUIXFDJP-UHFFFAOYSA-N	P10635	0.8113955
DFJSJLGUIXFDJP-UHFFFAOYSA-N	P05177	0.84709
DFJSJLGUIXFDJP-UHFFFAOYSA-N	P08684	0.8257034
DFJSJLGUIXFDJP-UHFFFAOYSA-N	P11712	0.8817334
DFJSJLGUIXFDJP-UHFFFAOYSA-N	P33261	0.8076765
PDOQBOJDRPLBQU-QMMMGPOBSA-N	P52333	0.9171814
PDOQBOJDRPLBQU-QMMMGPOBSA-N	P40763	0.9165773
PDOQBOJDRPLBQU-QMMMGPOBSA-N	O60674	0.9883565
PDOQBOJDRPLBQU-QMMMGPOBSA-N	P05067	0.8588656
NHHQJBCNYHBUSI-UHFFFAOYSA-N	Q15046	0.8602018
NHHQJBCNYHBUSI-UHFFFAOYSA-N	O60674	0.8128916
NHHQJBCNYHBUSI-UHFFFAOYSA-N	P43403	0.8815242
CYOHGALHFOKKQC-UHFFFAOYSA-N	Q02750	0.8564786
LIRYPHYGHXZJBZ-UHFFFAOYSA-N	Q02750	0.894668
FDLYAMZZIXQODN-UHFFFAOYSA-N	P09874	0.9958278
STUWGJZDJHPWGZ-LBPRGKRZSA-N	P42338	0.9563126
STUWGJZDJHPWGZ-LBPRGKRZSA-N	O00329	0.9678279
STUWGJZDJHPWGZ-LBPRGKRZSA-N	P08684	0.9488942
LHNIIDJUOCFXAP-UHFFFAOYSA-N	P42345	0.8280585
LHNIIDJUOCFXAP-UHFFFAOYSA-N	P42338	0.9099778
LHNIIDJUOCFXAP-UHFFFAOYSA-N	P42336	1.041858
LHNIIDJUOCFXAP-UHFFFAOYSA-N	O00329	0.9083933
LHNIIDJUOCFXAP-UHFFFAOYSA-N	P78527	0.8030847
CWHUFRVAEUJCEF-UHFFFAOYSA-N	P42336	0.8808567
OUKYUETWWIPKQR-UHFFFAOYSA-N	P06239	0.8072442
OUKYUETWWIPKQR-UHFFFAOYSA-N	P35968	0.9246398
UCFGDBYHRUNTLO-QHCPKHFHSA-N	Q9UNQ0	0.8393772
UCFGDBYHRUNTLO-QHCPKHFHSA-N	P08684	0.8429626
UCFGDBYHRUNTLO-QHCPKHFHSA-N	P10845	1.001504
UCFGDBYHRUNTLO-QHCPKHFHSA-N	Q16665	0.8315253
UHTHHESEBZOYNR-UHFFFAOYSA-N	P00533	0.93749
UHTHHESEBZOYNR-UHFFFAOYSA-N	P35968	1.02065
VWUXBMIQPBEWFH-WCCTWKNTSA-N	P34913	0.8807642
VWUXBMIQPBEWFH-WCCTWKNTSA-N	Q92731	0.9702402
VWUXBMIQPBEWFH-WCCTWKNTSA-N	P03372	0.8898871
VWUXBMIQPBEWFH-WCCTWKNTSA-N	P47712	0.8236898
SMFXSYMLJDHGIE-UHFFFAOYSA-N	P10635	0.9110064
SMFXSYMLJDHGIE-UHFFFAOYSA-N	P05177	0.9185562
SMFXSYMLJDHGIE-UHFFFAOYSA-N	P08684	0.9273612
SMFXSYMLJDHGIE-UHFFFAOYSA-N	P11712	0.9753044
SMFXSYMLJDHGIE-UHFFFAOYSA-N	P33261	0.900403
SMFXSYMLJDHGIE-UHFFFAOYSA-N	P52732	0.9409791
JLYAXFNOILIKPP-KXQOOQHDSA-N	P10415	0.8214272
JLYAXFNOILIKPP-KXQOOQHDSA-N	Q07817	0.8998064
DHMTURDWPRKSOA-RUZDIDTESA-N	P08183	0.8949265
DHMTURDWPRKSOA-RUZDIDTESA-N	P08238	0.8580045
DHMTURDWPRKSOA-RUZDIDTESA-N	Q9TSZ1	1.005866
DHMTURDWPRKSOA-RUZDIDTESA-N	P22734	0.8615038
