   Rank	    TPR
1	0
2	0.002207506
3	0.006622517
4	0.04856512
5	0.09492274
6	0.1523179
7	0.214128
8	0.2450331
9	0.2891832
10	0.3112583
11	0.3487859
12	0.3752759
13	0.4128035
14	0.4481236
15	0.4724062
16	0.4900662
17	0.5077263
18	0.5165563
19	0.5342163
20	0.5452539
21	0.5651214
22	0.5695364
23	0.5827815
24	0.6004415
25	0.615894
26	0.6203091
27	0.6247241
28	0.6379691
29	0.6401766
30	0.6445916
31	0.6534216
32	0.6644592
33	0.6688742
34	0.6710817
35	0.6732892
36	0.6754967
37	0.6799117
38	0.6865342
39	0.6887417
40	0.6975717
41	0.6997792
42	0.7019868
43	0.7041943
44	0.7041943
45	0.7064018
46	0.7064018
47	0.7064018
48	0.7086093
49	0.7130243
50	0.7130243
51	0.7130243
52	0.7152318
53	0.7174393
54	0.7196468
55	0.7218543
56	0.7240618
57	0.7262693
58	0.7284768
59	0.7284768
60	0.7306843
61	0.7306843
62	0.7306843
63	0.7328918
64	0.7417219
65	0.7417219
66	0.7439294
67	0.7461369
68	0.7505519
69	0.7505519
70	0.7505519
71	0.7505519
72	0.7593819
73	0.7615894
74	0.7615894
75	0.7637969
76	0.7637969
77	0.7637969
78	0.7637969
79	0.7637969
80	0.7660044
81	0.7660044
82	0.7682119
83	0.7682119
84	0.7682119
85	0.7682119
86	0.7682119
87	0.7682119
88	0.7682119
89	0.7682119
90	0.7682119
91	0.7682119
92	0.7682119
93	0.7682119
94	0.7682119
95	0.7682119
96	0.7682119
97	0.7704194
98	0.7748344
99	0.7748344
100	0.7770419
101	0.7770419
102	0.781457
103	0.781457
104	0.781457
105	0.781457
106	0.781457
107	0.781457
108	0.781457
109	0.781457
110	0.781457
111	0.7836645
112	0.7836645
113	0.7836645
114	0.785872
115	0.785872
116	0.785872
117	0.785872
118	0.790287
119	0.790287
120	0.7924945
121	0.7924945
122	0.7924945
123	0.7924945
124	0.7924945
125	0.7924945
126	0.794702
127	0.794702
128	0.799117
129	0.799117
130	0.799117
131	0.799117
132	0.799117
133	0.8013245
134	0.8013245
135	0.8013245
136	0.8013245
137	0.803532
138	0.803532
139	0.803532
140	0.8057395
141	0.8057395
142	0.8057395
143	0.807947
144	0.8101545
145	0.812362
146	0.812362
147	0.812362
148	0.812362
149	0.812362
150	0.812362
151	0.812362
152	0.812362
153	0.812362
154	0.812362
155	0.812362
156	0.812362
157	0.812362
158	0.812362
159	0.812362
160	0.812362
161	0.812362
162	0.812362
163	0.812362
164	0.8145695
165	0.8145695
166	0.8145695
167	0.8145695
168	0.8145695
169	0.8145695
170	0.8145695
171	0.8145695
172	0.8145695
173	0.8145695
174	0.8145695
175	0.8145695
176	0.8145695
177	0.8145695
178	0.8145695
179	0.8145695
180	0.8145695
181	0.8145695
182	0.8145695
183	0.816777
184	0.816777
185	0.816777
186	0.816777
187	0.8189845
188	0.8189845
189	0.8189845
190	0.8189845
191	0.8189845
192	0.8189845
193	0.8189845
194	0.8189845
195	0.8189845
196	0.8189845
197	0.8189845
198	0.8189845
199	0.8189845
200	0.8189845
201	0.8189845
202	0.8189845
203	0.8189845
204	0.8211921
205	0.8211921
206	0.8211921
207	0.8233996
208	0.8233996
209	0.8233996
210	0.8233996
211	0.8256071
212	0.8256071
213	0.8256071
214	0.8256071
215	0.8256071
216	0.8256071
217	0.8256071
218	0.8256071
219	0.8278146
220	0.8278146
221	0.8278146
