Accession	>=0.9	>=0.75	>=0.5	>=0.25	>0	=0
P08912	0	2	2	15	294	5983
P20309	0	2	2	13	305	5972
P29371	0	1	2	10	355	5922
P30968	0	1	1	2	201	6076
Q99705	1	3	3	3	339	5938
P49682	0	3	3	23	289	5988
O95136	0	0	0	5	158	6119
A5X5Y0	0	0	2	6	116	6161
O95264	0	0	2	6	124	6153
Q70Z44	0	0	1	2	47	6230
Q8WXA8	0	1	1	6	118	6159
P32238	0	3	3	7	331	5946
P32239	0	3	3	7	321	5956
P34976	6	6	6	11	338	5939
P34995	0	0	2	4	19	6258
P35372	3	4	8	26	373	5904
P41145	3	3	8	25	375	5902
P41146	2	2	5	26	369	5908
O95977	0	0	0	4	96	6181
P21453	0	0	0	8	192	6085
Q99500	0	0	1	6	191	6086
P11229	2	2	6	15	281	5996
P51681	1	4	11	21	304	5973
P21556	0	2	2	2	175	6102
P21554	2	2	2	5	164	6113
P34972	0	2	2	5	105	6172
P43140	2	2	2	7	358	5919
P50406	0	0	1	1	254	6023
P32246	0	1	13	27	330	5947
P41597	0	0	7	21	313	5964
P25103	2	4	6	10	353	5924
P46663	1	1	4	9	275	6002
O60755	0	0	2	3	351	5926
P51679	0	1	1	31	282	5995
P25116	0	0	0	1	263	6014
P33535	3	4	8	26	375	5902
Q96RJ0	0	2	2	5	296	5981
P47900	0	1	1	6	225	6052
Q13258	0	0	1	6	16	6261
P43115	0	0	1	1	22	6255
P25929	0	0	0	1	331	5946
P49146	0	0	0	0	336	5941
Q92847	3	3	3	4	354	5923
P25105	0	2	2	2	172	6105
P08909	1	2	2	10	308	5969
P14842	2	4	4	10	316	5961
P30994	0	2	2	10	267	6010
Q969V1	0	0	0	4	319	5958
P08172	3	3	6	15	278	5999
P49684	0	1	2	2	310	5967
P29275	0	2	6	15	289	5988
P28223	4	4	4	10	313	5964
P28335	0	2	2	10	310	5967
Q9Y5Y4	0	0	2	2	229	6048
P08913	0	4	4	16	287	5990
P20272	2	2	2	5	164	6113
Q2NNR5	0	1	1	2	253	6024
O70526	0	1	1	3	307	5970
P41144	0	3	8	25	375	5902
P14416	5	5	5	10	294	5983
P35462	0	2	2	15	301	5976
O43613	0	0	1	1	339	5938
P25101	3	3	7	7	265	6012
P26684	2	3	7	7	272	6005
P51677	0	1	8	20	297	5980
P18090	0	2	2	11	326	5951
P18901	1	4	7	12	287	5990
P19020	1	2	2	8	298	5979
P21917	0	0	1	11	253	6024
P25115	1	2	2	7	309	5968
P26255	0	0	2	19	320	5957
P30729	0	1	2	11	262	6015
P54833	1	5	5	20	345	5932
P15823	2	2	2	7	338	5939
P23944	0	0	1	7	321	5956
P32245	1	1	5	8	178	6099
P30556	6	6	6	10	337	5940
P19327	1	2	2	21	316	5961
P14600	2	4	6	10	350	5927
P32300	1	2	12	25	366	5911
P41143	0	2	12	25	362	5915
P97266	5	13	25	217	302	5975
P70263	0	0	1	6	16	6261
Q6XKD3	0	1	2	2	238	6039
Q9Z2J6	0	1	2	4	231	6046
P33533	1	2	12	25	364	5913
Q9R0C9	3	3	4	4	5	6272
P18825	0	0	2	14	282	5995
P21452	0	2	2	10	353	5924
P29274	0	3	3	15	280	5997
P41595	0	2	2	10	276	6001
P61169	5	5	5	9	301	5976
P21731	0	0	2	5	27	6250
P25021	0	2	2	29	352	5925
P35367	0	1	2	2	274	6003
Q9H3N8	0	0	2	5	233	6044
Q9QYN8	1	3	3	6	279	5998
Q9Y5N1	0	3	3	6	273	6004
Q9Y2T6	0	0	0	0	157	6120
P25104	6	6	6	12	337	5940
P49681	0	1	1	27	339	5938
P25095	6	6	6	11	339	5938
Q63931	0	3	3	7	330	5947
P25025	0	1	2	25	318	5959
P25024	0	0	2	21	319	5958
P48145	0	1	1	27	336	5941
P55085	0	0	0	1	228	6049
P30547	2	4	6	10	357	5920
P34975	2	3	9	25	377	5900
P42866	3	4	8	26	374	5903
O43614	0	0	1	1	351	5926
P28336	0	0	1	5	338	5939
P30542	0	4	5	15	257	6020
P30969	0	1	1	2	220	6057
Q9H244	0	1	1	2	185	6092
Q9EPX4	0	1	1	2	186	6091
Q15761	0	2	2	2	257	6020
O08726	0	1	1	3	366	5911
P51685	0	0	0	21	322	5955
Q9Y271	0	1	1	4	253	6024
Q9H228	0	0	0	5	147	6130
P33534	2	3	9	25	375	5902
Q9UKP6	0	0	2	2	315	5962
P97639	3	3	3	8	334	5943
Q8JZL2	1	3	3	3	333	5944
P49652	0	1	1	7	240	6037
P21730	0	0	1	3	264	6013
P30557	0	1	1	1	20	6257
P25099	1	4	5	15	249	6028
P30543	1	3	3	15	283	5994
Q8TDS5	0	0	0	4	199	6078
Q14330	0	0	0	0	233	6044
P30411	0	0	1	1	285	5992
P08173	2	2	6	15	281	5996
P18089	0	2	3	11	296	5981
Q13639	2	2	2	14	330	5947
Q62758	0	2	2	2	317	5960
Q9HC97	0	0	0	0	201	6076
P30551	0	3	3	7	332	5945
P08482	2	2	6	15	279	5998
Q8TDS4	1	3	3	4	233	6044
P21728	2	4	7	14	307	5970
P33032	0	1	5	8	192	6085
Q16581	0	0	0	0	260	6017
P34969	0	2	2	2	329	5948
P32247	0	2	2	5	340	5937
P08483	1	2	2	15	308	5969
P08908	0	2	2	23	322	5955
O70342	1	2	2	2	258	6019
P30987	0	1	2	4	19	6258
P30518	0	1	1	7	185	6092
P37288	0	1	1	7	265	6012
P30098	0	2	2	10	353	5924
P32305	2	2	2	2	329	5948
Q9QZN9	1	2	2	5	116	6161
P07550	0	5	5	19	341	5936
P21462	0	1	1	2	220	6057
P31389	0	0	2	2	270	6007
P51675	0	1	12	18	331	5946
P24530	1	3	7	7	306	5971
P28566	0	0	2	25	289	5988
P30939	1	1	2	27	296	5981
P35348	2	2	2	7	356	5921
P43088	0	1	1	4	24	6253
P10980	3	3	6	15	274	6003
P29276	1	2	6	15	279	5998
Q60614	1	2	6	15	281	5996
O88410	1	2	3	22	285	5992
Q80Z39	1	3	3	4	239	6038
P46098	0	3	3	8	125	6152
Q3BCU0	1	1	4	10	282	5995
P47901	0	1	1	7	234	6043
P08588	0	2	2	11	318	5959
Q8TCW9	0	0	0	0	315	5962
P61073	0	1	1	25	291	5986
P28564	1	1	6	24	310	5967
O55242	1	3	4	4	5	6272
P48748	0	0	4	13	249	6028
P49892	0	0	5	15	251	6026
P35351	0	1	1	8	283	5994
O14842	0	0	0	0	87	6190
P28221	1	3	6	27	320	5957
P28222	0	1	6	22	308	5969
Q6W5P4	0	0	0	0	287	5990
P51684	0	0	0	18	296	5981
P20288	5	5	5	11	303	5974
P13945	0	0	2	17	309	5968
P25100	0	0	1	7	326	5951
P30989	0	2	2	5	307	5970
P35368	2	2	2	7	332	5945
P48039	0	1	4	4	341	5936
P35344	0	0	2	20	300	5977
Q8K4Z4	0	5	5	16	345	5932
P21451	1	3	7	7	312	5965
O70528	2	2	2	20	333	5944
Q8TDU6	0	0	0	0	10	6267
P30872	1	1	3	27	375	5902
P30874	2	2	3	31	378	5899
P31391	0	1	3	26	375	5902
P32745	0	0	1	22	368	5909
P35346	0	0	4	27	377	5900
Q63634	1	2	2	2	263	6014
P28190	0	4	5	15	260	6017
P28647	0	1	2	15	264	6013
P46616	0	2	3	15	270	6007
P35563	1	3	3	8	125	6152
Q9JJ16	1	1	2	6	123	6154
P51683	1	1	10	19	319	5958
P43114	1	2	2	2	120	6157
Q62928	0	1	2	6	30	6247
Q969F8	0	1	1	1	341	5936
Q00788	0	0	1	7	176	6101
P10608	1	5	5	18	341	5936
P47747	0	2	2	28	348	5929
O43603	0	1	1	3	361	5916
P41968	0	1	5	8	183	6094
Q01718	0	0	0	8	166	6111
Q6IYF9	0	0	1	5	229	6048
Q9BXA5	0	0	1	5	241	6036
Q9ERZ4	3	3	6	15	273	6004
P08485	2	2	6	15	272	6005
P12657	2	2	6	15	279	5998
P51678	1	1	12	18	330	5947
Q95136	2	4	7	14	302	5975
P18130	2	2	2	7	356	5921
P47898	0	2	3	20	239	6038
Q28838	0	4	4	17	301	5976
Q64264	1	2	2	23	316	5961
Q75Z89	2	4	4	10	316	5961
P32249	0	1	1	1	302	5975
Q3U6B2	0	1	1	1	306	5971
Q01726	0	1	1	8	137	6140
Q9ESG6	0	0	0	2	183	6094
P51680	0	1	1	32	295	5982
P21729	0	1	2	5	335	5942
P35408	0	2	2	2	152	6125
Q9WV26	6	6	6	11	337	5940
P32302	0	0	0	11	327	5950
P35414	0	0	0	0	346	5931
Q9JII9	1	2	3	23	280	5997
Q9NS75	0	0	0	3	241	6036
P50052	0	1	1	8	285	5992
P30560	0	1	1	7	271	6006
P61814	1	4	11	22	311	5966
Q96P65	0	0	0	0	360	5917
O15552	0	0	0	0	159	6118
P70596	1	1	5	8	173	6104
P35463	1	3	7	7	302	5975
P31390	0	1	2	2	262	6015
P19328	1	2	3	11	296	5981
P22086	1	1	2	15	290	5987
P22909	1	4	4	17	291	5986
P61794	1	1	1	7	171	6106
Q92633	1	1	1	7	172	6105
Q923Y8	0	2	2	5	303	5974
P34978	0	1	2	4	19	6258
P25106	0	0	0	0	236	6041
O08725	3	3	3	4	354	5923
Q95254	2	3	3	4	351	5926
P49286	0	0	4	4	341	5936
P08911	1	2	2	15	297	5980
P25102	0	2	2	29	346	5931
P28565	2	3	6	28	306	5971
P30940	1	1	2	29	298	5979
P31388	0	0	1	1	254	6023
P34968	1	2	2	10	308	5969
P35364	1	2	3	22	247	6030
P35365	0	0	3	16	249	6028
P61168	5	5	5	9	302	5975
Q91ZY1	0	1	2	4	240	6037
P30553	0	3	3	7	324	5953
O43193	0	0	0	4	329	5948
P30559	0	1	1	7	254	6023
P43116	0	2	2	6	23	6254
P50130	2	4	7	14	302	5975
Q9GJU1	5	5	5	11	305	5972
P50391	0	0	0	1	308	5969
P50129	2	4	4	10	316	5961
P16177	0	1	2	10	354	5923
Q7TQP3	0	1	1	1	166	6111
Q8TDV5	0	1	1	1	160	6117
P30545	1	2	3	11	298	5979
Q01337	1	1	2	15	290	5987
Q01338	1	4	4	17	289	5988
P18871	0	4	4	17	288	5989
P49285	0	1	4	4	337	5940
P49288	0	0	4	4	339	5938
P51050	0	2	4	4	315	5962
P41231	0	1	1	6	216	6061
Q9H1C0	0	0	0	0	236	6041
Q9HBW0	0	0	2	7	141	6136
P79291	3	3	15	29	325	5952
P79350	2	4	8	26	372	5905
Q7TQN9	0	0	0	0	7	6270
Q28044	1	5	5	16	344	5933
P47936	1	2	2	5	120	6157
Q9UBY5	0	1	1	6	152	6125
P16610	0	2	2	10	345	5932
Q924U1	0	1	1	1	348	5929
P29089	6	6	6	13	336	5941
P35370	1	2	7	26	369	5908
P43119	0	1	1	6	26	6251
Q13304	0	0	0	1	314	5963
P30966	1	2	3	25	238	6039
P43253	0	0	1	5	27	6250
Q15722	0	0	0	1	312	5965
P56481	0	2	3	7	325	5952
Q8SPZ1	2	2	3	4	4	6273
P79400	2	4	6	45	253	6024
Q01727	0	1	1	8	147	6130
P47746	2	2	2	5	164	6113
P35377	2	2	6	26	369	5908
Q64077	0	2	2	10	354	5923
O55193	1	1	10	20	310	5967
P70536	0	1	1	7	243	6034
O08786	0	3	3	7	326	5951
P49019	0	1	3	4	211	6066
P51582	0	0	0	9	226	6051
Q15077	0	1	1	6	250	6027
Q63384	0	1	2	5	229	6048
P32304	1	2	2	2	329	5948
P21918	0	2	2	7	301	5976
P97583	0	0	4	10	204	6073
P51682	1	6	11	20	305	5972
Q9EP66	1	3	3	4	240	6037
Q9JI35	0	3	3	6	280	5997
O88319	0	2	2	5	302	5975
P58406	1	3	3	6	279	5998
Q62805	0	0	0	5	366	5911
Q9NPC1	0	0	0	0	195	6082
Q99P50	3	3	3	4	355	5922
Q61616	1	4	7	12	294	5983
P30548	2	4	6	10	351	5926
P30935	0	0	1	11	369	5908
P37289	0	1	1	2	21	6256
P32240	1	2	2	2	121	6156
P35375	0	0	2	4	19	6258
Q62053	0	2	2	6	22	6255
P35363	2	4	4	10	314	5963
Q02152	0	2	2	10	269	6008
P18841	2	2	2	7	337	5940
P70597	0	0	2	4	18	6259
P32244	1	1	5	8	182	6095
P35345	0	1	5	8	194	6083
P23945	0	0	0	1	75	6202
Q60612	1	4	5	15	253	6024
Q60613	1	3	3	15	287	5990
Q61618	0	1	2	15	246	6031
Q91ZY2	0	1	2	6	243	6034
Q9BDQ5	0	0	4	13	299	5978
Q29010	2	3	7	7	267	6010
P32248	0	0	0	19	295	5982
P13500	0	0	1	2	3	6274
P30550	0	1	2	5	331	5946
Q6Y1R5	0	1	1	6	204	6073
P32211	2	2	6	15	280	5997
Q920H4	1	2	2	15	295	5982
